Date (Monthly);Taux Directeur (%)2;Inflation sous-jacente (%);52 semaines
31/03/2018;2,25;0,90;2,28
30/04/2018;2,25;1,10;2,31
30/05/2018;2,25;1,20;2,33
30/06/2018;2,25;1,30;2,36
30/07/2018;2,25;1,30;2,38
30/08/2018;2,25;1,40;2,40
30/09/2018;2,25;1,60;2,43
30/10/2018;2,25;1,50;2,45
30/11/2018;2,25;1,50;2,44
30/12/2018;2,25;1,40;2,45
30/01/2019;2,25;0,90;2,44
28/02/2019;2,25;0,80;2,35
28/03/2019;2,25;0,80;2,32
28/04/2019;2,25;0,70;2,33
28/05/2019;2,25;0,50;2,31
28/06/2019;2,25;0,30;2,29
28/07/2019;2,25;0,40;2,28
28/08/2019;2,25;0,50;2,33
28/09/2019;2,25;0,30;2,26
28/10/2019;2,25;0,10;2,28
28/11/2019;2,25;0,20;2,31
28/12/2019;2,22;0,30;2,28
28/01/2020;2,13;0,50;2,23
28/02/2020;2,05;0,70;2,15
28/03/2020;1,94;0,80;2,04
28/04/2020;1,77;0,90;1,91
28/05/2020;1,61;0,80;1,85
28/06/2020;1,50;0,70;2,00
28/07/2020;1,50;0,70;1,89
28/08/2020;1,50;0,60;1,78
28/09/2020;1,50;0,30;1,68
28/10/2020;1,50;0,20;1,65
28/11/2020;1,50;0,20;1,60
28/12/2020;1,50;0,30;1,62
28/01/2021;1,50;0,40;1,57
28/02/2021;1,50;0,50;1,57
28/03/2021;1,50;0,60;1,53
28/04/2021;1,50;0,80;1,52
28/05/2021;1,50;0,90;1,51
28/06/2021;1,50;1,10;1,52
28/07/2021;1,50;1,50;1,50
28/08/2021;1,50;1,60;1,50
28/09/2021;1,50;2,60;1,50
28/10/2021;1,50;3,10;1,52
28/11/2021;1,50;3,30;1,53
28/12/2021;1,50;3,60;1,56
28/01/2022;1,50;3,90;1,57
28/02/2022;1,50;4,38;1,59
28/03/2022;1,50;4,80;1,61
28/04/2022;1,50;5,49;1,65
28/05/2022;1,50;6,72;1,70
28/06/2022;1,54;7,48;1,79
28/07/2022;1,69;7,63;1,95
28/08/2022;1,85;7,55;2,08
28/09/2022;2,01;7,40;2,18
28/10/2022;2,18;7,60;2,51
28/11/2022;2,36;8,00;2,85
28/12/2022;2,53;8,30;3,18
28/01/2023;2,70;8,40;3,52
28/02/2023;2,87;8,50;3,45
28/03/2023;3,00;7,90;3,41
28/04/2023;3,00;7,30;3,50
28/05/2023;3,00;6,10;3,39
28/06/2023;3,00;5,30;3,34
28/07/2023;3,00;5,10;3,30
28/08/2023;3,00;4,70;3,25
28/09/2023;3,00;4,40;3,24
28/10/2023;3,00;4,00;3,20
28/11/2023;3,00;3,30;3,08
28/12/2023;3,00;2,80;3,05
28/01/2024;3,00;2,50;3,03
28/02/2024;3,00;1,90;2,98
28/03/2024;2,98;2,10;2,94
28/04/2024;2,90;2,00;2,90
28/05/2024;2,83;1,90;2,87
28/06/2024;2,75;2,10;2,83
28/07/2024;2,75;1,90;2,79
28/08/2024;2,75;2,30;2,75
28/09/2024;2,74;2,20;2,69
28/10/2024;2,65;2,20;2,67
28/11/2024;2,56;2,50;2,64
28/12/2024;2,48;2,30;2,53
28/01/2025;2,39;2,30;2,48
28/02/2025;2,30;2,20;2,60
28/03/2025;2,25;1,40;2,54
28/04/2025;2,25;1,00;2,23
28/05/2025;2,25;1,00;2,08
28/06/2025;2,25;1,00;1,75
28/07/2025;2,25;0,90;2,24
28/08/2025;2,25;0,70;2,02
28/09/2025;2,25;0,70;2,25
